ID,Name,Service,Cadre,Reference_Value,Qualification,Subject,Division,Source,Category_of_Subject
TN003700,Ms. Anna R Malhotra,Indian Administrative Service,Tamil Nadu,0,Graduate,English Lit,Ordinary,Supremo,Languages and Fine Arts
TN003700,Ms. Anna R Malhotra,Indian Administrative Service,Tamil Nadu,1,P.G.,N.A.,First,Supremo,N.A.
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,0,Certificate,French,Ordinary,Supremo,Languages and Fine Arts
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,1,Graduate,Physics,Second,Supremo,Natural Sciences
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,2,P.G.,Economic Dev.,Ordinary,Supremo,Social Science and Liberal Arts
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,3,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
MH006800,Shri B G Deshmukh,Indian Administrative Service,Maharashtra,0,Graduate,Botany,Ordinary,Supremo,Natural Sciences
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,0,Graduate,Law,Third,Supremo,"Governance, Law and Management"
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,1,P.G.,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,0,Graduate,Chemistry,First,Supremo,Natural Sciences
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,1,P.G.,Chemistry,First,Supremo,Natural Sciences
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,0,Graduate,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,1,P.G.,Statistics,First,Supremo,"Engineering, Technology and Mathematics"
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,0,Graduate,Physics,First,Supremo,Natural Sciences
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,1,P.G.,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
GJ003000,Shri M Sivagnanam,Indian Administrative Service,Gujarat,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
GJ003000,Shri M Sivagnanam,Indian Administrative Service,Gujarat,1,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
UP011500,Shri Pc Saxena,Indian Administrative Service,Uttar Pradesh,0,Certificate,German,Ordinary,Supremo,Languages and Fine Arts
UP011500,Shri Pc Saxena,Indian Administrative Service,Uttar Pradesh,1,Graduate,English Lit,Second,Supremo,Languages and Fine Arts
UP011500,Shri Pc Saxena,Indian Administrative Service,Uttar Pradesh,2,P.G.,Philosophy,First,Supremo,Social Science and Liberal Arts
UP011600,Dr. Ss Sidhu,Indian Administrative Service,Uttar Pradesh,0,Certificate,French,Ordinary,Supremo,Languages and Fine Arts
UP011600,Dr. Ss Sidhu,Indian Administrative Service,Uttar Pradesh,1,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
UP011600,Dr. Ss Sidhu,Indian Administrative Service,Uttar Pradesh,2,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
UP011600,Dr. Ss Sidhu,Indian Administrative Service,Uttar Pradesh,3,Ph. D.,Economics,Ordinary,Supremo,Social Science and Liberal Arts
KL002000,Shri T Madhava Menon,Indian Administrative Service,Kerala,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
KL002000,Shri T Madhava Menon,Indian Administrative Service,Kerala,1,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
KN004100,Shri T R Satish Chandran,Indian Administrative Service,Karnataka,0,Diploma,Economics,Ordinary,Supremo,Social Science and Liberal Arts
KN004100,Shri T R Satish Chandran,Indian Administrative Service,Karnataka,1,Graduate,Physics,First,Supremo,Natural Sciences
RJ003900,Shri Br Bahadur,Indian Administrative Service,Rajasthan,0,Graduate,English Lit,First,Supremo,Languages and Fine Arts
RJ003900,Shri Br Bahadur,Indian Administrative Service,Rajasthan,1,P.G.,English Lit,Second,Supremo,Languages and Fine Arts
RJ004000,Shri Mm Kohli,Indian Administrative Service,Rajasthan,0,Graduate,Political Sc.,Ordinary,Supremo,Social Science and Liberal Arts
RJ004000,Shri Mm Kohli,Indian Administrative Service,Rajasthan,1,P.G.,Economics,Ordinary,Supremo,Social Science and Liberal Arts
AM002500,Ms. P P Trivedi,Indian Administrative Service,Assam Meghalya,0,Graduate,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
AM002500,Ms. P P Trivedi,Indian Administrative Service,Assam Meghalya,1,P.G.,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
AP005200,Shri Shravan Kumar,Indian Administrative Service,Andhra Pradesh,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
AP005200,Shri Shravan Kumar,Indian Administrative Service,Andhra Pradesh,1,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
BH007100,Shri Cr Vaidyanathan,Indian Administrative Service,Bihar,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
BH007100,Shri Cr Vaidyanathan,Indian Administrative Service,Bihar,1,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
BH007200,Shri Vinod Kumar,Indian Administrative Service,Bihar,0,Certificate,Development Economics,Ordinary,Supremo,Social Science and Liberal Arts
BH007200,Shri Vinod Kumar,Indian Administrative Service,Bihar,1,Diploma,German,Ordinary,Supremo,Languages and Fine Arts
BH007200,Shri Vinod Kumar,Indian Administrative Service,Bihar,2,Graduate,Civil Engg,First,Supremo,"Engineering, Technology and Mathematics"
BH007200,Shri Vinod Kumar,Indian Administrative Service,Bihar,3,Graduate,Physics,First,Supremo,Natural Sciences
GJ003900,Ms. R M Shroff,Indian Administrative Service,Gujarat,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
GJ003900,Ms. R M Shroff,Indian Administrative Service,Gujarat,1,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
UP013500,Shri Rp Khosla,Indian Administrative Service,Uttar Pradesh,0,Graduate,History,Second,Supremo,Social Science and Liberal Arts
UP013600,Shri Sk Bhatnagar,Indian Administrative Service,Uttar Pradesh,0,Graduate,Accountancy,Second,Supremo,Finance
UP013600,Shri Sk Bhatnagar,Indian Administrative Service,Uttar Pradesh,1,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
WB006000,Shri Cn Penn Anthony,Indian Administrative Service,West Bengal,0,Graduate,English Lit,First,Supremo,Languages and Fine Arts
WB006100,Shri Bc Mukherjee,Indian Administrative Service,West Bengal,0,Graduate,Commerce,Second,Supremo,Finance
WB006100,Shri Bc Mukherjee,Indian Administrative Service,West Bengal,1,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
WB006100,Shri Bc Mukherjee,Indian Administrative Service,West Bengal,2,P.G.,History,Second,Supremo,Social Science and Liberal Arts
WB006200,Shri Mn Chaudhuri,Indian Administrative Service,West Bengal,0,Diploma,Public Admn,Ordinary,Supremo,"Governance, Law and Management"
WB006200,Shri Mn Chaudhuri,Indian Administrative Service,West Bengal,1,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
WB006200,Shri Mn Chaudhuri,Indian Administrative Service,West Bengal,2,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
