ID,Name,Cadre,Reference_Value,Qualification,Subject,Category_of_Subject,Division,Source
TN003700,Ms. Anna R Malhotra,Tamil Nadu,0,Graduate,English Lit,Languages and Fine Arts,Ordinary,Supremo
TN003700,Ms. Anna R Malhotra,Tamil Nadu,1,P.G.,N.A.,N.A.,First,Supremo
UP011100,Shri Pk Kaul,Uttar Pradesh,0,Certificate,French,Languages and Fine Arts,Ordinary,Supremo
UP011100,Shri Pk Kaul,Uttar Pradesh,1,Graduate,Physics,Natural Sciences,Second,Supremo
UP011100,Shri Pk Kaul,Uttar Pradesh,2,P.G.,Economic Dev.,Social Science and Liberal Arts,Ordinary,Supremo
UP011100,Shri Pk Kaul,Uttar Pradesh,3,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
MH006800,Shri B G Deshmukh,Maharashtra,0,Graduate,Botany,Natural Sciences,Ordinary,Supremo
TN003900,Shri Ram Chander,Tamil Nadu,0,Graduate,Law,"Governance, Law and Management",Third,Supremo
TN003900,Shri Ram Chander,Tamil Nadu,1,P.G.,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
AP004800,Shri Gv Ramakrishna,Andhra Pradesh,0,Graduate,Chemistry,Natural Sciences,First,Supremo
AP004800,Shri Gv Ramakrishna,Andhra Pradesh,1,P.G.,Chemistry,Natural Sciences,First,Supremo
BH005400,Shri N Nagamani,Bihar,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
BH005400,Shri N Nagamani,Bihar,1,P.G.,Statistics,"Engineering, Technology and Mathematics",First,Supremo
BH005600,Shri Pp Nayyar,Bihar,0,Graduate,Physics,Natural Sciences,First,Supremo
BH005600,Shri Pp Nayyar,Bihar,1,P.G.,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
GJ003000,Shri M Sivagnanam,Gujarat,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
GJ003000,Shri M Sivagnanam,Gujarat,1,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
UP011500,Shri Pc Saxena,Uttar Pradesh,0,Certificate,German,Languages and Fine Arts,Ordinary,Supremo
UP011500,Shri Pc Saxena,Uttar Pradesh,1,Graduate,English Lit,Languages and Fine Arts,Second,Supremo
UP011500,Shri Pc Saxena,Uttar Pradesh,2,P.G.,Philosophy,Social Science and Liberal Arts,First,Supremo
UP011600,Dr. Ss Sidhu,Uttar Pradesh,0,Certificate,French,Languages and Fine Arts,Ordinary,Supremo
UP011600,Dr. Ss Sidhu,Uttar Pradesh,1,Graduate,Economics,Social Science and Liberal Arts,First,Supremo
UP011600,Dr. Ss Sidhu,Uttar Pradesh,2,P.G.,Economics,Social Science and Liberal Arts,First,Supremo
UP011600,Dr. Ss Sidhu,Uttar Pradesh,3,Ph. D.,Economics,Social Science and Liberal Arts,Ordinary,Supremo
KL002000,Shri T Madhava Menon,Kerala,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
KL002000,Shri T Madhava Menon,Kerala,1,P.G.,Economics,Social Science and Liberal Arts,First,Supremo
KN004100,Shri T R Satish Chandran,Karnataka,0,Diploma,Economics,Social Science and Liberal Arts,Ordinary,Supremo
KN004100,Shri T R Satish Chandran,Karnataka,1,Graduate,Physics,Natural Sciences,First,Supremo
RJ003900,Shri Br Bahadur,Rajasthan,0,Graduate,English Lit,Languages and Fine Arts,First,Supremo
RJ003900,Shri Br Bahadur,Rajasthan,1,P.G.,English Lit,Languages and Fine Arts,Second,Supremo
RJ004000,Shri Mm Kohli,Rajasthan,0,Graduate,Political Sc.,Social Science and Liberal Arts,Ordinary,Supremo
RJ004000,Shri Mm Kohli,Rajasthan,1,P.G.,Economics,Social Science and Liberal Arts,Ordinary,Supremo
AM002500,Ms. P P Trivedi,Assam Meghalya,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
AM002500,Ms. P P Trivedi,Assam Meghalya,1,P.G.,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
AP005200,Shri Shravan Kumar,Andhra Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,First,Supremo
AP005200,Shri Shravan Kumar,Andhra Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,First,Supremo
BH007100,Shri Cr Vaidyanathan,Bihar,0,Graduate,Economics,Social Science and Liberal Arts,First,Supremo
BH007100,Shri Cr Vaidyanathan,Bihar,1,P.G.,Economics,Social Science and Liberal Arts,First,Supremo
BH007200,Shri Vinod Kumar,Bihar,0,Certificate,Development Economics,Social Science and Liberal Arts,Ordinary,Supremo
BH007200,Shri Vinod Kumar,Bihar,1,Diploma,German,Languages and Fine Arts,Ordinary,Supremo
BH007200,Shri Vinod Kumar,Bihar,2,Graduate,Civil Engg,"Engineering, Technology and Mathematics",First,Supremo
BH007200,Shri Vinod Kumar,Bihar,3,Graduate,Physics,Natural Sciences,First,Supremo
GJ003900,Ms. R M Shroff,Gujarat,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
GJ003900,Ms. R M Shroff,Gujarat,1,P.G.,Economics,Social Science and Liberal Arts,First,Supremo
UP013500,Shri Rp Khosla,Uttar Pradesh,0,Graduate,History,Social Science and Liberal Arts,Second,Supremo
UP013600,Shri Sk Bhatnagar,Uttar Pradesh,0,Graduate,Accountancy,Finance,Second,Supremo
UP013600,Shri Sk Bhatnagar,Uttar Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,First,Supremo
WB006000,Shri Cn Penn Anthony,West Bengal,0,Graduate,English Lit,Languages and Fine Arts,First,Supremo
WB006100,Shri Bc Mukherjee,West Bengal,0,Graduate,Commerce,Finance,Second,Supremo
WB006100,Shri Bc Mukherjee,West Bengal,1,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
WB006100,Shri Bc Mukherjee,West Bengal,2,P.G.,History,Social Science and Liberal Arts,Second,Supremo
WB006200,Shri Mn Chaudhuri,West Bengal,0,Diploma,Public Admn,"Governance, Law and Management",Ordinary,Supremo
WB006200,Shri Mn Chaudhuri,West Bengal,1,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
WB006200,Shri Mn Chaudhuri,West Bengal,2,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
WB006200,Shri Mn Chaudhuri,West Bengal,3,P.G.,Public Admn,"Governance, Law and Management",Ordinary,Supremo
HP000500,Shri Kc Pandeya,Himachal Pradesh,0,Graduate,History,Social Science and Liberal Arts,First,Supremo
HP000500,Shri Kc Pandeya,Himachal Pradesh,1,P.G.,History,Social Science and Liberal Arts,First,Supremo
HY002400,Shri Pp Caprihan,Haryana,0,Graduate,Physics,Natural Sciences,First,Supremo
HY002400,Shri Pp Caprihan,Haryana,1,P.G.,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
KL002200,Shri R Gopalaswamy,Kerala,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
KN004600,Shri Pr Dubhashi,Karnataka,0,Diploma,Economics,Social Science and Liberal Arts,Ordinary,Supremo
KN004600,Shri Pr Dubhashi,Karnataka,1,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
KN004600,Shri Pr Dubhashi,Karnataka,2,P.G.,Economics,Social Science and Liberal Arts,First,Supremo
OR004400,Shri Cg Somiah,Odisha,0,Graduate,Chemistry,Natural Sciences,Ordinary,Supremo
TN004100,Shri S Venkitaramnan,Tamil Nadu,0,Graduate,Physics,Natural Sciences,First,Supremo
TN004100,Shri S Venkitaramnan,Tamil Nadu,1,P.G.,Physics,Natural Sciences,First,Supremo
MH007900,Shri B K Chougule,Maharashtra,0,Graduate,Economics,Social Science and Liberal Arts,First,Supremo
MH007900,Shri B K Chougule,Maharashtra,1,Graduate,Law,"Governance, Law and Management",Second,Supremo
MH008000,Shri V T Chari,Maharashtra,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
MH008000,Shri V T Chari,Maharashtra,1,P.G.,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
MP007400,Shri Sl Sharma,Madhya Pradesh,0,Graduate,English,Languages and Fine Arts,First,Supremo
MP007400,Shri Sl Sharma,Madhya Pradesh,1,Graduate,Law,"Governance, Law and Management",First,Supremo
MP007400,Shri Sl Sharma,Madhya Pradesh,2,P.G.,History,Social Science and Liberal Arts,First,Supremo
OR004500,Shri Li Parija,Odisha,0,Graduate,Physics,Natural Sciences,Ordinary,Supremo
OR004500,Shri Li Parija,Odisha,1,P.G.,Chemistry,Natural Sciences,Ordinary,Supremo
TN004600,Shri Cvs Mani,Tamil Nadu,0,Graduate,Hindi,Languages and Fine Arts,First,Supremo
TN004600,Shri Cvs Mani,Tamil Nadu,1,P.G.,Physics,Natural Sciences,First,Supremo
AP005900,Shri Gr Nair,Andhra Pradesh,0,Graduate,History,Social Science and Liberal Arts,Second,Supremo
AP006000,Shri B K Rao,Andhra Pradesh,0,Graduate,Geology,Natural Sciences,Ordinary,Supremo
AP006000,Shri B K Rao,Andhra Pradesh,1,P.G.,Petrology,Natural Sciences,Ordinary,Supremo
AP006100,Shri Mg Krishnan,Andhra Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,First,Supremo
