ID,Name,Cadre,Reference_Value,Qualification,Subject,Division,Source,Category_of_Subject
TN003700,Ms. Anna R Malhotra,Tamil Nadu,0,Graduate,English Lit,Ordinary,Supremo,Languages and Fine Arts
TN003700,Ms. Anna R Malhotra,Tamil Nadu,1,P.G.,N.A.,First,Supremo,N.A.
UP011100,Shri Pk Kaul,Uttar Pradesh,0,Certificate,French,Ordinary,Supremo,Languages and Fine Arts
UP011100,Shri Pk Kaul,Uttar Pradesh,1,Graduate,Physics,Second,Supremo,Natural Sciences
UP011100,Shri Pk Kaul,Uttar Pradesh,2,P.G.,Economic Dev.,Ordinary,Supremo,Social Science and Liberal Arts
UP011100,Shri Pk Kaul,Uttar Pradesh,3,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
MH006800,Shri B G Deshmukh,Maharashtra,0,Graduate,Botany,Ordinary,Supremo,Natural Sciences
TN003900,Shri Ram Chander,Tamil Nadu,0,Graduate,Law,Third,Supremo,"Governance, Law and Management"
TN003900,Shri Ram Chander,Tamil Nadu,1,P.G.,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
AP004800,Shri Gv Ramakrishna,Andhra Pradesh,0,Graduate,Chemistry,First,Supremo,Natural Sciences
AP004800,Shri Gv Ramakrishna,Andhra Pradesh,1,P.G.,Chemistry,First,Supremo,Natural Sciences
BH005400,Shri N Nagamani,Bihar,0,Graduate,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
BH005400,Shri N Nagamani,Bihar,1,P.G.,Statistics,First,Supremo,"Engineering, Technology and Mathematics"
BH005600,Shri Pp Nayyar,Bihar,0,Graduate,Physics,First,Supremo,Natural Sciences
BH005600,Shri Pp Nayyar,Bihar,1,P.G.,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
GJ003000,Shri M Sivagnanam,Gujarat,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
GJ003000,Shri M Sivagnanam,Gujarat,1,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
UP011500,Shri Pc Saxena,Uttar Pradesh,0,Certificate,German,Ordinary,Supremo,Languages and Fine Arts
UP011500,Shri Pc Saxena,Uttar Pradesh,1,Graduate,English Lit,Second,Supremo,Languages and Fine Arts
UP011500,Shri Pc Saxena,Uttar Pradesh,2,P.G.,Philosophy,First,Supremo,Social Science and Liberal Arts
UP011600,Dr. Ss Sidhu,Uttar Pradesh,0,Certificate,French,Ordinary,Supremo,Languages and Fine Arts
UP011600,Dr. Ss Sidhu,Uttar Pradesh,1,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
UP011600,Dr. Ss Sidhu,Uttar Pradesh,2,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
UP011600,Dr. Ss Sidhu,Uttar Pradesh,3,Ph. D.,Economics,Ordinary,Supremo,Social Science and Liberal Arts
KL002000,Shri T Madhava Menon,Kerala,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
KL002000,Shri T Madhava Menon,Kerala,1,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
KN004100,Shri T R Satish Chandran,Karnataka,0,Diploma,Economics,Ordinary,Supremo,Social Science and Liberal Arts
KN004100,Shri T R Satish Chandran,Karnataka,1,Graduate,Physics,First,Supremo,Natural Sciences
RJ003900,Shri Br Bahadur,Rajasthan,0,Graduate,English Lit,First,Supremo,Languages and Fine Arts
RJ003900,Shri Br Bahadur,Rajasthan,1,P.G.,English Lit,Second,Supremo,Languages and Fine Arts
RJ004000,Shri Mm Kohli,Rajasthan,0,Graduate,Political Sc.,Ordinary,Supremo,Social Science and Liberal Arts
RJ004000,Shri Mm Kohli,Rajasthan,1,P.G.,Economics,Ordinary,Supremo,Social Science and Liberal Arts
AM002500,Ms. P P Trivedi,Assam Meghalya,0,Graduate,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
AM002500,Ms. P P Trivedi,Assam Meghalya,1,P.G.,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
AP005200,Shri Shravan Kumar,Andhra Pradesh,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
AP005200,Shri Shravan Kumar,Andhra Pradesh,1,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
BH007100,Shri Cr Vaidyanathan,Bihar,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
BH007100,Shri Cr Vaidyanathan,Bihar,1,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
BH007200,Shri Vinod Kumar,Bihar,0,Certificate,Development Economics,Ordinary,Supremo,Social Science and Liberal Arts
BH007200,Shri Vinod Kumar,Bihar,1,Diploma,German,Ordinary,Supremo,Languages and Fine Arts
BH007200,Shri Vinod Kumar,Bihar,2,Graduate,Civil Engg,First,Supremo,"Engineering, Technology and Mathematics"
BH007200,Shri Vinod Kumar,Bihar,3,Graduate,Physics,First,Supremo,Natural Sciences
GJ003900,Ms. R M Shroff,Gujarat,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
GJ003900,Ms. R M Shroff,Gujarat,1,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
UP013500,Shri Rp Khosla,Uttar Pradesh,0,Graduate,History,Second,Supremo,Social Science and Liberal Arts
UP013600,Shri Sk Bhatnagar,Uttar Pradesh,0,Graduate,Accountancy,Second,Supremo,Finance
UP013600,Shri Sk Bhatnagar,Uttar Pradesh,1,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
WB006000,Shri Cn Penn Anthony,West Bengal,0,Graduate,English Lit,First,Supremo,Languages and Fine Arts
WB006100,Shri Bc Mukherjee,West Bengal,0,Graduate,Commerce,Second,Supremo,Finance
WB006100,Shri Bc Mukherjee,West Bengal,1,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
WB006100,Shri Bc Mukherjee,West Bengal,2,P.G.,History,Second,Supremo,Social Science and Liberal Arts
WB006200,Shri Mn Chaudhuri,West Bengal,0,Diploma,Public Admn,Ordinary,Supremo,"Governance, Law and Management"
WB006200,Shri Mn Chaudhuri,West Bengal,1,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
WB006200,Shri Mn Chaudhuri,West Bengal,2,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
WB006200,Shri Mn Chaudhuri,West Bengal,3,P.G.,Public Admn,Ordinary,Supremo,"Governance, Law and Management"
HP000500,Shri Kc Pandeya,Himachal Pradesh,0,Graduate,History,First,Supremo,Social Science and Liberal Arts
HP000500,Shri Kc Pandeya,Himachal Pradesh,1,P.G.,History,First,Supremo,Social Science and Liberal Arts
HY002400,Shri Pp Caprihan,Haryana,0,Graduate,Physics,First,Supremo,Natural Sciences
HY002400,Shri Pp Caprihan,Haryana,1,P.G.,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
KL002200,Shri R Gopalaswamy,Kerala,0,Graduate,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
KN004600,Shri Pr Dubhashi,Karnataka,0,Diploma,Economics,Ordinary,Supremo,Social Science and Liberal Arts
KN004600,Shri Pr Dubhashi,Karnataka,1,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
KN004600,Shri Pr Dubhashi,Karnataka,2,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
OR004400,Shri Cg Somiah,Odisha,0,Graduate,Chemistry,Ordinary,Supremo,Natural Sciences
TN004100,Shri S Venkitaramnan,Tamil Nadu,0,Graduate,Physics,First,Supremo,Natural Sciences
TN004100,Shri S Venkitaramnan,Tamil Nadu,1,P.G.,Physics,First,Supremo,Natural Sciences
MH007900,Shri B K Chougule,Maharashtra,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
MH007900,Shri B K Chougule,Maharashtra,1,Graduate,Law,Second,Supremo,"Governance, Law and Management"
MH008000,Shri V T Chari,Maharashtra,0,Graduate,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
MH008000,Shri V T Chari,Maharashtra,1,P.G.,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
MP007400,Shri Sl Sharma,Madhya Pradesh,0,Graduate,English,First,Supremo,Languages and Fine Arts
MP007400,Shri Sl Sharma,Madhya Pradesh,1,Graduate,Law,First,Supremo,"Governance, Law and Management"
MP007400,Shri Sl Sharma,Madhya Pradesh,2,P.G.,History,First,Supremo,Social Science and Liberal Arts
OR004500,Shri Li Parija,Odisha,0,Graduate,Physics,Ordinary,Supremo,Natural Sciences
OR004500,Shri Li Parija,Odisha,1,P.G.,Chemistry,Ordinary,Supremo,Natural Sciences
TN004600,Shri Cvs Mani,Tamil Nadu,0,Graduate,Hindi,First,Supremo,Languages and Fine Arts
TN004600,Shri Cvs Mani,Tamil Nadu,1,P.G.,Physics,First,Supremo,Natural Sciences
AP005900,Shri Gr Nair,Andhra Pradesh,0,Graduate,History,Second,Supremo,Social Science and Liberal Arts
AP006000,Shri B K Rao,Andhra Pradesh,0,Graduate,Geology,Ordinary,Supremo,Natural Sciences
AP006000,Shri B K Rao,Andhra Pradesh,1,P.G.,Petrology,Ordinary,Supremo,Natural Sciences
AP006100,Shri Mg Krishnan,Andhra Pradesh,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
AP006100,Shri Mg Krishnan,Andhra Pradesh,1,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
AP006500,Shri Ka Ansari,Andhra Pradesh,0,Graduate,Philosophy,Ordinary,Supremo,Social Science and Liberal Arts
AP006500,Shri Ka Ansari,Andhra Pradesh,1,P.G.,Philosophy,Ordinary,Supremo,Social Science and Liberal Arts
BH008800,Shri K Ramanujam,Bihar,0,Graduate,Statistics,First,Supremo,"Engineering, Technology and Mathematics"
BH008800,Shri K Ramanujam,Bihar,1,P.G.,Commerce,Second,Supremo,Finance
BH008900,Shri Ishwari Prasad,Bihar,0,Diploma,Sociology,First,Supremo,Social Science and Liberal Arts
BH008900,Shri Ishwari Prasad,Bihar,1,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
BH008900,Shri Ishwari Prasad,Bihar,2,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
BH009000,Shri U Vaidyanathan,Bihar,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
BH009000,Shri U Vaidyanathan,Bihar,1,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
BH009000,Shri U Vaidyanathan,Bihar,2,P.G.,Political Sc.,First,Supremo,Social Science and Liberal Arts
BH009100,Shri S S Dhanoa,Bihar,0,Graduate,Chemistry,Third,Supremo,Natural Sciences
BH009100,Shri S S Dhanoa,Bihar,1,Graduate,Law,Second,Supremo,"Governance, Law and Management"
BH009100,Shri S S Dhanoa,Bihar,2,P.G.,Political Sc.,Second,Supremo,Social Science and Liberal Arts
UP015300,Shri Prem Kumar,Uttar Pradesh,0,Graduate,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
UP015300,Shri Prem Kumar,Uttar Pradesh,1,P.G.,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
UP015400,Shri Svs Juneja,Uttar Pradesh,0,Graduate,History,Second,Supremo,Social Science and Liberal Arts
UP015400,Shri Svs Juneja,Uttar Pradesh,1,P.G.,Economics,Ordinary,Supremo,Social Science and Liberal Arts
UP015600,Shri Anand Sarup,Uttar Pradesh,0,Graduate,Economics,Ordinary,Supremo,Social Science and Liberal Arts
UP015600,Shri Anand Sarup,Uttar Pradesh,1,P.G.,English Lit,Ordinary,Supremo,Languages and Fine Arts
UT000400,Shri R M Agrawal,A G M U T,0,Diploma,Intnl.affairs,Ordinary,Supremo,"Governance, Law and Management"
UT000400,Shri R M Agrawal,A G M U T,1,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
UT000400,Shri R M Agrawal,A G M U T,2,Graduate,Law,First,Supremo,"Governance, Law and Management"
UT000400,Shri R M Agrawal,A G M U T,3,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
WB007000,Shri Ss Varma,West Bengal,0,Graduate,Civil Engg,First,Supremo,"Engineering, Technology and Mathematics"
WB007000,Shri Ss Varma,West Bengal,1,Graduate,Physics,Second,Supremo,Natural Sciences
HY002600,Shri Lc Gupta,Haryana,0,Graduate,Mathematics,Second,Supremo,"Engineering, Technology and Mathematics"
HY002600,Shri Lc Gupta,Haryana,1,P.G.,English,Third,Supremo,Languages and Fine Arts
KL002600,Shri V Ramachandran,Kerala,0,Graduate,Geology,First,Supremo,Natural Sciences
KL002600,Shri V Ramachandran,Kerala,1,P.G.,Development Economics,Ordinary,Supremo,Social Science and Liberal Arts
KL002600,Shri V Ramachandran,Kerala,2,P.G.,Geology,Ordinary,Supremo,Natural Sciences
KL002600,Shri V Ramachandran,Kerala,3,P.G.,Petrology,Ordinary,Supremo,Natural Sciences
KN004800,Shri Ab Datar,Karnataka,0,Graduate,Commerce,First,Supremo,Finance
KN004800,Shri Ab Datar,Karnataka,1,Graduate,Law,First,Supremo,"Governance, Law and Management"
KN004900,Shri S Varadan,Karnataka,0,Graduate,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
OR005500,Shri Js Baijal,Odisha,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
OR005500,Shri Js Baijal,Odisha,1,P.G.,Economics,Ordinary,Supremo,Social Science and Liberal Arts
WB006800,Ms. Roma Mazumdar,West Bengal,0,Graduate,English,Second,Supremo,Languages and Fine Arts
MH008100,Shri A D Samant,Maharashtra,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
MH008100,Shri A D Samant,Maharashtra,1,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
MH008300,Shri S Ramakrishna,Maharashtra,0,Diploma,Electrical Engg.,Ordinary,Supremo,"Engineering, Technology and Mathematics"
MH008300,Shri S Ramakrishna,Maharashtra,1,Graduate,Law,Ordinary,Supremo,"Governance, Law and Management"
MH008300,Shri S Ramakrishna,Maharashtra,2,Graduate,Mathematics,Ordinary,Supremo,"Engineering, Technology and Mathematics"
MH008300,Shri S Ramakrishna,Maharashtra,3,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
MH008400,Shri K K Uppal,Maharashtra,0,Graduate,English Lit,Second,Supremo,Languages and Fine Arts
MH008400,Shri K K Uppal,Maharashtra,1,P.G.,English Lit,Second,Supremo,Languages and Fine Arts
MP007800,Shri B Swarup,Madhya Pradesh,0,Graduate,English,Second,Supremo,Languages and Fine Arts
MP007800,Shri B Swarup,Madhya Pradesh,1,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
MP007900,Shri Rn Chopra,Madhya Pradesh,0,Graduate,Zoology,Second,Supremo,Natural Sciences
MP007900,Shri Rn Chopra,Madhya Pradesh,1,P.G.,Geology,First,Supremo,Natural Sciences
MP008000,Dr. Kcs Acharya,Madhya Pradesh,0,Graduate,Commerce,Second,Supremo,Finance
MP008000,Dr. Kcs Acharya,Madhya Pradesh,1,P.G.,Commerce,First,Supremo,Finance
MP008000,Dr. Kcs Acharya,Madhya Pradesh,2,Ph. D.,Economics,Ordinary,Supremo,Social Science and Liberal Arts
MP008100,Shri Ms Singh Deo,Madhya Pradesh,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
MP008100,Shri Ms Singh Deo,Madhya Pradesh,1,P.G.,History,Second,Supremo,Social Science and Liberal Arts
OR005300,Shri C Venkataramani,Odisha,0,Graduate,Chemistry,First,Supremo,Natural Sciences
OR005300,Shri C Venkataramani,Odisha,1,P.G.,Chemistry,First,Supremo,Natural Sciences
OR005400,Shri Nk Panda,Odisha,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
OR005400,Shri Nk Panda,Odisha,1,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
OR005600,Shri P S H Mohamed,Odisha,0,Graduate,English Lit,First,Supremo,Languages and Fine Arts
PB002600,Shri P K Kathpalia,Punjab,0,Graduate,English,First,Supremo,Languages and Fine Arts
PB002600,Shri P K Kathpalia,Punjab,1,P.G.,English,Second,Supremo,Languages and Fine Arts
RJ005900,Shri Mohan Lal Anand,Rajasthan,0,Graduate,Physics,First,Supremo,Natural Sciences
RJ005900,Shri Mohan Lal Anand,Rajasthan,1,P.G.,Physics,First,Supremo,Natural Sciences
TN005600,Shri Tn Seshan,Tamil Nadu,0,Graduate,Physics,First,Supremo,Natural Sciences
TN005600,Shri Tn Seshan,Tamil Nadu,1,P.G.,Public Admn,First,Supremo,"Governance, Law and Management"
TN005700,Shri Pn Vedanaraynan,Tamil Nadu,0,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
TN005700,Shri Pn Vedanaraynan,Tamil Nadu,1,P.G.,Political Sc.,Second,Supremo,Social Science and Liberal Arts
TN005800,Shri As Ahluwalia,Tamil Nadu,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
TN005800,Shri As Ahluwalia,Tamil Nadu,1,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
AP006700,Shri K Subramanyam,Andhra Pradesh,0,Graduate,Law,Second,Supremo,"Governance, Law and Management"
AP006700,Shri K Subramanyam,Andhra Pradesh,1,Graduate,Physics,Third,Supremo,Natural Sciences
AP006800,Shri V K Dar,Andhra Pradesh,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
AP006800,Shri V K Dar,Andhra Pradesh,1,P.G.,Philosophy,First,Supremo,Social Science and Liberal Arts
AP006900,Shri V P Ramarao,Andhra Pradesh,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
AP006900,Shri V P Ramarao,Andhra Pradesh,1,Graduate,Law,Second,Supremo,"Governance, Law and Management"
AP007000,Shri Spb Subramanian,Andhra Pradesh,0,Graduate,Chemistry,Ordinary,Supremo,Natural Sciences
AP007000,Shri Spb Subramanian,Andhra Pradesh,1,P.G.,Chemistry,First,Supremo,Natural Sciences
AP007100,Shri Kvss Narayana,Andhra Pradesh,0,Graduate,Accountancy,Second,Supremo,Finance
AP007100,Shri Kvss Narayana,Andhra Pradesh,1,Graduate,Law,First,Supremo,"Governance, Law and Management"
AP007100,Shri Kvss Narayana,Andhra Pradesh,2,P.G.,Accountancy,Second,Supremo,Finance
AP007200,Shri D S Guruswamy,Andhra Pradesh,0,Graduate,Physics,Second,Supremo,Natural Sciences
AP007200,Shri D S Guruswamy,Andhra Pradesh,1,P.G.,Physics,First,Supremo,Natural Sciences
AP007400,Shri Narendra Luther,Andhra Pradesh,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
AP007400,Shri Narendra Luther,Andhra Pradesh,1,P.G.,Economics,Ordinary,Supremo,Social Science and Liberal Arts
BH009500,Shri Ps Kohli,Bihar,0,Graduate,Chemistry,First,Supremo,Natural Sciences
BH009500,Shri Ps Kohli,Bihar,1,P.G.,Chemistry,First,Supremo,Natural Sciences
BH009600,Shri R Srinivasan,Bihar,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
BH009600,Shri R Srinivasan,Bihar,1,P.G.,Economic Dev.,Ordinary,Supremo,Social Science and Liberal Arts
BH009800,Shri Ss Sharan,Bihar,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
