,Subject
N.A.,3941
Economics,1815
Law,956
History,930
Political Sc.,903
English,884
Physics,867
English Lit,425
Commerce,390
Mathematics,379
Chemistry,354
Public Admn,303
Electrical Engg.,285
Business Admn.,282
Mech.engg.,264
Civil Engg,220
Medicine,213
Geography,190
Botany,186
Electronics,178
Zoology,174
Management,169
Sociology,146
Agriculture,145
Philosophy,143
Computer Sc,127
Hindi,120
Geology,118
Public Policy,100
Finance,88
French,87
Psychology,82
Science,68
Statistics,68
Accountancy,68
Chemical Engg,66
Education,64
Social Sciences,60
German,55
Agri.,52
Hons,52
Sanskrit,51
Art,50
Electronics and Communication,47
Development Economics,45
Veterinary Sc.,40
Marketing,35
Dev Adm,35
Rural Dev,32
Public Management,30
Journalism,30
Bio-Technology,29
Pers.Mgt.,29
Anthropology,28
Russian,27
Indl Engg.,24
Intnl Trade.,24
Intnl Relations,24
Fincl Mgt,23
Business Mgt,23
Mechanical,23
Engineeriing,23
Cost Acct,22
Social Work,22
Animal Husby,22
Modern Ind.Hist,22
Dev Studies,22
History (hons),20
Electronics Engg,19
Bio Chemistry,19
Human Res Mngmt,18
Environmental Science,18
Economic Dev.,18
Surgery,17
Poltics,17
Prodn.Engg.,17
Medicine Surgery,16
Urban Planning,16
Forestry,16
Intnl.law,16
Intrnl Business,15
Agronomy,15
Biology,15
Public Policy & Mgmt,15
Genetics,15
Cooperation,15
Banking,14
Intnl Studies,14
Mech. Engg.,14
Public Mgmt & Policy,14
Physics (hons),14
Ancient History,14
Mining.Engg.,14
Intnl Politics,13
Instrumentation,13
Iformation&tech,13
Indl.mgt,13
Computers,13
Microbiology,12
Electronics & Telecom Engg,12
Financial Management,12
Marketing Mgt,12
Horticulture,12
Agrl.Economics,12
Computer Tech,12
Social Pol&planning -uk,12
Labour Laws,11
Applied Eco.,11
Medical Sciences,11
Dentistry,11
Defence Studies,11
International Dev,11
Planning.,11
Social Planning,11
Plant Pathology,10
Comp. Sci.,10
Health Management,10
Commn.Engg,10
All Medical Subjects,10
Technology,10
Development,10
Metallurgy Engg,10
Nuclear Physics,9
Structural Engg,9
Taxation,9
Aerospace Enginneering,9
Indus Relations,9
Humanities,9
Dev Mgt,9
Organic Chemistry,9
Computer Application,9
Governance & Dev.,9
Public Management & Governance,8
Metallurgy,8
Hons Physics,8
Human Res.mgt,8
Human Resource,8
Intrnl Deve Policy,8
Information Technology,8
Energy Studies,8
Physical Chem,8
Public Service,8
Intnl.affairs,8
Pure Math.,8
Company Law,8
Architecture,8
Physiology,8
Public Health,7
Computer System,7
Medieval Indian History,7
Applied Geology,7
Public Mgmt,7
Communication,7
Operation Research,7
Food Technology,7
Petroleum Engg,7
Hons Economics,7
Econometrics,7
Company Mgt.,7
Labour Welfare,7
Accounting and Auditing,7
Textile Engg.,7
Civil & Criminal Law,7
Ecology,7
System Analysis,7
Constl.law,6
Agri.Engg.,6
Chinese,6
Mass Commn,6
Indl.economics,6
Political Eco,6
Ayurvedic,6
Medical&dental,6
Business Admn,6
Pharmacy,6
Tourism,6
Rur Social Dev,6
Energy Planning,5
Diplomacy,5
System Mgt,5
"Demography,",5
Business Law,5
Marathi,5
Power Sys Engg,5
Behav Science,5
Telugu,5
Mechanical engineering,5
Persian,5
Marketing Management,5
Economic Hons.,5
Crimnology,5
Building Sc,5
Punjabi,5
Business Finance,5
Local Self Govt,4
Indian History,4
Management&system,4
Hons English,4
Macro Eco Policy & Plg,4
Urban Dev,4
Hons History,4
App.Mathematics,4
Defence & Strategic Studies,4
Intnl Economics,4
Chem. Engg,4
Entomology,4
Soil Science,4
Water R Dev,4
Administrative Laws and Other Laws,4
Nursing,4
Urdu,4
Library Science,4
Public Finance,4
Intel.property Law,4
Intellectual Property Rights,4
Dairy Production,4
Marine Biology,4
Administrative Law,4
Electronics Engineering,3
Optoelectronics,3
Human Rights,3
USA,3
Political Studies,3
Dairy Science,3
Tamil,3
Homeopathy,3
Orthopaedics,3
Env. Sci.,3
Civil Laws,3
Environmental Laws,3
Population&devlp,3
Foundation Engg,3
Textile Technology,3
Intnl Policy&studies,3
Paper Technolog,3
Navigation,3
Micro ¯o Eco,3
Microelectronics and VLSI,3
Criminal Laws,3
International Political Economy,3
Constitl. Law,3
Anatomy,3
Advance Accountancy,3
Rural Mgt,3
Obstetrics and Gynaecology,3
Energy & Environmental Policy,3
Law & Governance,3
Plant Botany,3
Business Econ,3
Agri. Entomology,3
Transportation,3
Gandhian Studies,3
Admn.Sc.&Dev Problem,3
Administrative Science,3
Italian,3
Nautical Science,3
Linguistics,3
Export,3
National Dev,3
Gujarati,3
Globalization and Urban Dev,3
Project Mgt,3
Fishery Science,3
Urban Studies,3
Social Policy,3
Labour,3
Plant Breeding,3
Spanish,3
Yoga,3
Auditing,3
Procurement,2
Thermal Sc.,2
Indl.dev.,2
Anatomy Physiology Biochemistry,2
Radar Engg,2
Health Policy,2
Quality Management,2
Hydrology,2
Divinity,2
Managerial Eco,2
Mineral Exploration,2
Policy Analysis,2
Rural Social Dev,2
Digital Commn Engg,2
Equity Capital Mkts,2
West Asian Studies,2
Pure Maths,2
public affairs,2
Euro.history,2
Geophysics,2
Arabic,2
Nutrition,2
Paediatrics,2
Cyber Law,2
Cytogenetics,2
Livestock Production,2
Material Sc,2
Administrative Mgmt,2
Accountancy.Chd,2
Opthalmology,2
Ancient Ind.history,2
Income Tax,2
Napalese,2
Wildlife Mgt,2
Physical Engg,2
Corporate Laws,2
Hotal Management,2
Applied Physics,2
Internal Medicine,2
Plant Physioloy,2
Advertising,2
Parasitology,2
Information Sc,2
Trade,2
Rural Economics,2
Accoustics,2
C.A.,2
Commercial Law,2
Fin. Mgmt,2
Archaeology,2
Bacteriology,2
Fluid Mechanics,2
Petrology,2
Assamese,2
Marine.engg.,2
Executive Devlopment,2
Social Studies,2
Naval Architre,2
Costing,2
Public Sc.& Managt,2
Hons Zoology,2
Security Relatn,2
Development Mgmt,2
Public Eco.,2
Forensic Sc.,2
Hydraulics,2
Pharmacology,2
Principle of Laws,2
Project Planning,2
Construction Mgt,2
Fine Arts,2
Poverty Alleviation,2
Housing and Environment,2
Intrntl Finance,2
Power Electronics,2
Indl.psychology,1
Intnl Marketing,1
Radiology,1
Cost and Work Mgmt.,1
Histology,1
Ceramic Tech,1
Programing,1
Legal History,1
Bio-Physics,1
Design Engineering,1
Engg Mining.Engg.,1
Manpower Plg,1
Hons Psychology,1
Fiscal Studies,1
Hons Computers,1
Applied Mech,1
Design of Mech Equipments,1
Women Studies,1
Education Plg.,1
Hindi English Math Physics Chemistry,1
Hons Statistics,1
Hindi English Math NaturalScience SSc Sanskrit Eco,1
Electronic.dp,1
Banking Law,1
INTNL RELATIONS,1
Mathematical Sciences,1
Taxation Laws,1
Auto.Engg.,1
Christian Ministry,1
Hons Civil Engg,1
Direct Tax Laws,1
Hons Electrical Engg.,1
Management Accounting,1
Environmental Engineering,1
Office Mgt.,1
Physiotherapy,1
Economic Hons. with Psychology,1
Indian Industry,1
Legislative Drafting,1
Corporate Mgmt,1
Aeronautical Engineering,1
Harvard,1
Hons Geography,1
Aero Engg,1
International Business,1
Venereology,1
Water Management,1
Music,1
Hindi English,1
Eco.History,1
USA Statistics,1
Analytical Chem,1
Telecomm Engg,1
Hons Mathematics,1
Financial Markets,1
Animal Breeding,1
Radio Pathology,1
Bengali,1
Portuguese,1
Social Security,1
Community Planning,1
Labour Orgn.,1
Web Pages Designing,1
Prodn.Control,1
Non.Linear Mech,1
Empowerment,1
Chartered Fincl Analyst,1
Federalism,1
Tibetan,1
Business.Orgn,1
Applied Maths,1
Systems Science & Automation,1
Computer Networks,1
Pali,1
Indl. Finance,1
Port Plg & Managemt,1
Indl.orgn.,1
Family Planning,1
Census,1
Eng. Mech.,1
Strategic Export Mkt,1
Aplied Geologcl,1
Sectt.Practices,1
Managerial Economics,1
Utility Regulation,1
Land Laws,1
Eco Planning,1
Town Planning,1
National Security,1
Applied Optics,1
Anaesthology,1
Chinese Studies,1
Disaster Management,1
Intrnl Dev,1
Astronomy,1
Eco Policy & Mgt,1
Political Systems,1
Gender Analysis,1
Physilogy(orgl Behaviour),1
Export Mgt,1
Patents Law,1
Police Admn,1
Small Scale Sector,1
Sahitya Visharad,1
Organisational Behaviour,1
Trng & Developmemt,1
South Asian Security Issues,1
Fibre Sc.&tech.,1
Public Enterpr,1
Preventive and Social Medicine,1
Obstetrics,1
Animal Sciences,1
Politics (Int. Studies),1
Clinical Pathgy,1
Refrigeration,1
Gynaecology,1
From Green REvolution to Liberalissation Grown of,1
Natural Resource,1
Clic Psychology,1
Metropolitan Planning,1
Contract and Taxation Law,1
Social Services,1
Air Navigation Sys.,1
American Civiln,1
Epidemiology,1
Media Regulation,1
Plasti Techlogy,1
Silviculture,1
Integ Rural Engy Tech.,1
